Scraping 9241 pages for video carousel components, in batches of 8
 This will result in 1156 batches.
"timestamp","batch","index","URL","videoURL","Error"
"Mon, 10 Feb 2020 18:02:11 GMT","1","1","https://www.shu.ac.uk/research/specialisms/materials-and-engineering-research-institute/what-we-do/commercial-services/materials-consultancy/ceramics-and-glass","","ELEMENT NOT FOUND"
"Mon, 10 Feb 2020 18:02:11 GMT","1","0","https://www.shu.ac.uk/research/specialisms/materials-and-engineering-research-institute/what-we-do/commercial-services/courses/sheaf-solutions-training-offer","","ELEMENT NOT FOUND"
"Mon, 10 Feb 2020 18:02:11 GMT","1","2","https://www.shu.ac.uk/research/specialisms/materials-and-engineering-research-institute/what-we-do/commercial-services/materials-consultancy/sustainability-and-process-simulation","","ELEMENT NOT FOUND"
"Mon, 10 Feb 2020 18:02:11 GMT","1","7","https://www.shu.ac.uk/research/specialisms/materials-and-engineering-research-institute/what-we-do/commercial-services/materials-consultancy/machine-vision","","ELEMENT NOT FOUND"
"Mon, 10 Feb 2020 18:02:11 GMT","1","5","https://www.shu.ac.uk/research/specialisms/materials-and-engineering-research-institute/what-we-do/commercial-services/materials-consultancy/infrastructure-management","","ELEMENT NOT FOUND"
"Mon, 10 Feb 2020 18:02:11 GMT","1","6","https://www.shu.ac.uk/research/specialisms/materials-and-engineering-research-institute/what-we-do/commercial-services/materials-consultancy/microscope-imaging","","ELEMENT NOT FOUND"
"Mon, 10 Feb 2020 18:02:12 GMT","1","4","https://www.shu.ac.uk/research/specialisms/materials-and-engineering-research-institute/what-we-do/commercial-services/materials-consultancy/analysis-of-polymers-minerals-and-organic-inorganic-complexes","","ELEMENT NOT FOUND"
"Mon, 10 Feb 2020 18:02:18 GMT","1","3","https://www.shu.ac.uk/research/specialisms/materials-and-engineering-research-institute/what-we-do/commercial-services/materials-consultancy/materials-analysis","","ELEMENT NOT FOUND"
"Mon, 10 Feb 2020 18:02:29 GMT","2","0","https://www.shu.ac.uk/research/specialisms/materials-and-engineering-research-institute/what-we-do/commercial-services/materials-consultancy/automation-and-robotics","","ELEMENT NOT FOUND"
"Mon, 10 Feb 2020 18:02:29 GMT","2","1","https://www.shu.ac.uk/research/specialisms/materials-and-engineering-research-institute/what-we-do/commercial-services/materials-consultancy/coatings-analysis","","ELEMENT NOT FOUND"
